,YEAR,Gersemia,Pennatulacea,Actinaria,Polychaeta,Barnacles,Shrimps,Crabs,Gastropods,Bivalves,Asteroidea,Echinoidea,Ophiuroidea,Holothuroidea,Porifera,Bryozoans,Ascidians,Total_Benthic
20,2001,1.548437021,0.003704296,20.5208138,10.34456302,0.526682339,0.062245898,123.6025861,140.75485,7.142541847,462.844691,2.381423506,69.77959961,11.5000428,356.6827002,1.033594711,162.1448838,1371.380355
21,2002,2.960212946,0.017684585,22.8688712,5.021255979,1.094207974,0.076651495,173.316726,134.6554655,3.62890703,594.081283,3.524377276,78.31200716,8.356892498,275.7063162,0.733601587,248.385608,1554.064258
22,2003,1.622893377,0.01001532,18.74780039,0.213381188,0.301653197,0.044259481,136.0999078,124.1007728,3.453899608,480.1503951,3.59425128,62.05278048,10.41509557,212.1559436,0.440289917,203.959063,1259.21713
23,2004,2.660494215,0.072823722,19.90633964,2.779690239,5.581921807,0.099714169,176.708709,118.2985414,10.87622558,596.2678194,12.95742273,98.1388965,2.986019544,200.652073,0.402272861,302.0125823,1553.327611
24,2005,2.012516751,0.107808743,23.87340776,0.527505516,1.22797423,0.054219922,157.4922739,157.9667257,4.00120253,543.981718,29.35523125,88.21269944,7.597923341,116.7521349,0.357203922,215.4177686,1353.461727
25,2006,0.327048206,0.055043099,26.88726441,0.243125315,0.874378567,0.305357493,150.6831462,145.4795291,4.420583752,569.6890817,3.119305613,96.40781023,6.634806298,108.622453,0.179672091,228.6152023,1347.432834
26,2007,0.367685709,0.006146388,34.71740597,0.55734568,0.440481991,0.209251583,128.6337065,145.5676364,15.41035288,579.5730498,33.89162228,79.76406387,3.270482062,70.23920675,0.391297168,200.2631082,1293.764467
27,2008,0.379745251,0.045713761,30.44786147,0.223904133,2.281627019,0.248064377,105.5009385,120.770583,5.619760508,429.4167231,21.5934957,77.60167404,3.75504518,178.5205352,2.769427966,224.1749035,1204.164426
28,2009,0.303272112,0.032707565,29.74470371,0.730528393,0.467633111,0.493494588,103.208816,110.1348211,4.625870366,411.5021973,5.242484787,57.15368396,2.517590695,143.4177726,3.108110407,258.7994002,1134.075806
29,2010,0.943182441,0.019152584,40.23539437,0.578844319,1.141773883,0.470720025,108.9700669,110.8792612,3.360194631,488.0060414,14.20363033,70.57489831,4.787514882,166.5197127,2.023780556,320.8613042,1339.007261
30,2011,1.101657726,0.073976169,83.57972232,0.636260912,0.604815552,0.388265133,126.4059427,144.2976253,7.115377007,556.7023676,3.210088312,85.08856453,7.998783081,325.5881921,1.840459047,260.2879922,1607.163316
31,2012,1.482308471,2.626565605,59.50733896,0.966423471,1.76854082,0.409708893,179.1916027,177.0866021,4.763450675,550.8224008,16.51983078,83.44315726,3.065771672,345.567328,1.47808283,269.5394723,1719.223205
32,2013,2.938453635,0.032446892,53.1564464,0.621430007,0.616353749,0.366025635,159.0408619,167.2020029,6.914439511,519.2006753,4.11765463,128.0806688,6.07842099,525.4575748,1.629684587,306.2048854,1886.150801
33,2014,2.295483831,0.108000817,49.20012073,0.294944305,0.303162355,0.460375434,123.7119726,164.6270093,4.499759656,455.2910683,6.419051616,116.9886748,3.65179135,371.5276403,2.252116125,200.4464846,1505.279677
34,2015,4.182644451,0.302887962,41.39686962,0.883982298,0.981487609,0.176036393,109.1199399,154.1620704,4.554789035,452.5702626,10.18604658,115.2067162,6.209443323,393.2499495,0.767200927,176.0940976,1485.984478
35,2016,2.904854296,0.037262477,36.70916494,1.744147343,1.268049228,0.24615735,199.7998105,321.3289099,5.619609592,1103.443196,27.83268315,337.4838675,5.148889567,223.8411326,1.073532513,228.3989537,2512.017787
36,2017,1.620849154,0.083675938,37.13887704,3.018987781,1.314682203,0.23081882,134.7049796,255.8644862,5.579054407,667.0170254,13.48332305,129.1290121,3.403370263,138.7341015,0.255171138,126.8032353,1527.208302
37,2018,0.512551134,0.094226323,21.91804693,0.914769116,0.364612515,0.320462791,88.2830262,152.8618075,5.379790704,435.9807774,14.38994272,124.0098118,3.839969603,47.59757355,2.334749372,69.17921549,976.948721
38,2019,0.463201675,0.042242698,27.35819023,0.47984357,0.583879418,0.162412814,108.7214949,141.2737534,4.244684555,556.7940009,6.241451187,119.7830862,4.635679891,58.91952201,0.823917819,68.09505028,1098.970245
